"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"hsa-miR-142-3p(1)",662.015665585464,0.196257460486938,0.614506895165919,0.319373894794049,0.749443004043325,0.901505107380754,1
"hsa-miR-142-5p(1)",3430.38556078309,0.519728289626126,0.592774789500298,0.876771918833205,0.380610534471064,0.852441775550896,1
"hsa-miR-143(1)",431.316171347787,-0.835921902450292,0.575329326571687,-1.45294505919148,0.146239008900153,0.77193106985349,1
"hsa-miR-143STAR(1)",13.5080287842155,-0.516150947773371,0.765469014192707,-0.674293718234596,0.500124596965937,0.869228402088236,1
"hsa-miR-144(1)",1431.91032723474,2.69521168552928,1.29202836660258,2.08603135596505,0.0369757828392393,0.760324285233523,1
"hsa-miR-144STAR(1)",128.187681609677,1.00065280528738,0.799472059469001,1.25164199728506,0.21070034414007,0.77193106985349,1
"hsa-miR-145(1)",44.058941237794,-0.899490766905248,0.652856285032681,-1.37777760209541,0.168271963333765,0.77193106985349,1
"hsa-miR-145STAR(1)",65.930397788306,0.66808736951361,0.903119260607912,0.739755421741204,0.45944841260417,0.869228402088236,1
"hsa-miR-146a(1)",4263.19906269584,0.420012162623607,0.538057652604788,0.780608101362908,0.435033025488246,0.869058537647469,1
"hsa-miR-146aSTAR(1)",19.0326895875812,1.28629688177226,0.833554043904829,1.54314755135315,0.122794979545553,0.760324285233523,1
"hsa-miR-146b(1)",220.68712465398,0.410573641185533,0.491304593583787,0.835680444570308,0.403334699430219,0.869058537647469,1
"hsa-miR-148a(1)",1785.66700604757,0.448064454669657,0.565198043603094,0.79275655629181,0.427919672247957,0.869058537647469,1
"hsa-miR-148aSTAR(1)",11.4408716378836,-0.175524642288993,0.682815117075541,-0.257060275760671,0.79713224264511,0.914159589470178,1
"hsa-miR-148b(1)",1909.09637472883,0.688286747771723,0.56663111777171,1.21469987472348,0.224480580346533,0.77193106985349,1
"hsa-miR-148bSTAR(1)",14.3692931842097,1.04346722000469,0.682430359193824,1.52904572011915,0.126253110094128,0.760324285233523,1
"hsa-miR-150(1)",51.8920979442379,-0.0108066303087627,0.679894011463253,-0.0158945808119487,0.987318493343072,0.994146613079219,1
"hsa-miR-151-3p(1)",1537.5722887276,0.286740704866337,0.591469447167913,0.484793772931661,0.627822640346297,0.901505107380754,1
"hsa-miR-151-5p(1)",1540.79039808576,0.352230614876381,0.549631603129147,0.640848548138556,0.521621087262332,0.869228402088236,1
"hsa-miR-152(1)",317.656575968756,0.115506644963564,0.521542258037748,0.221471305888322,0.824725476461089,0.923556215375848,1
"hsa-miR-153(2)",26.3726940887311,0.0800282280415185,1.33600438492844,0.0599011716909933,NA,NA,NA
"hsa-miR-155(1)",52.6776145618613,0.190114976753817,0.492268132518407,0.386202080116791,0.699347013321583,0.901505107380754,1
"hsa-miR-15a(1)",5299.01248189097,1.78317437477392,1.26849168469857,1.40574384230012,NA,NA,NA
"hsa-miR-15b(1)",831.831721563557,-0.244528817407796,0.685828387345712,-0.356545196902931,0.721432310754748,0.901505107380754,1
"hsa-miR-15bSTAR(1)",79.0752696062909,0.661575786161426,0.592911750345448,1.11580818861487,0.264504247922101,0.77193106985349,1
"hsa-miR-16(2)",7313.69240058146,1.42757680510775,1.17693470305869,1.21296177383306,0.225144435793766,0.77193106985349,1
"hsa-miR-16-2STAR(1)",133.236583931596,0.908321667485742,0.544386533714199,1.6685233951114,0.0952118716710638,0.760324285233523,1
"hsa-miR-17(1)",1629.32220321198,0.492095835388212,0.601035981211344,0.818746049772974,0.412931317437715,0.869058537647469,1
"hsa-miR-17STAR(1)",63.4195246913134,0.301210198093152,0.555292445974301,0.542435252409487,0.587518700128957,0.901505107380754,1
"hsa-miR-181a(2)",958.02075264412,0.685346632203412,0.639772772024147,1.07123444787291,0.284064026141956,0.775578570107308,1
"hsa-miR-181a-1STAR(1)",21.7692241109819,0.765710548061636,0.684491649533816,1.11865579161285,0.263287011990599,0.77193106985349,1
"hsa-miR-181a-2STAR(1)",16.5648535252178,0.314018452029679,0.603636412632226,0.520211248788597,0.602916345939379,0.901505107380754,1
"hsa-miR-181b(2)",89.6160291445698,0.488724548911982,0.594739293527357,0.821745854411924,0.41122155577904,0.869058537647469,1
"hsa-miR-181c(1)",47.5114965222817,-0.27964314537954,0.574623356673591,-0.486654679333525,0.626503067336241,0.901505107380754,1
"hsa-miR-181cSTAR(1)",19.0549284881744,0.0875787370834085,0.600410430186436,0.145864782955576,0.884028133312628,0.95278832690479,1
"hsa-miR-181d(1)",24.9148560795053,-0.252357277989385,0.560060659478782,-0.450589188364418,0.652285660332229,0.901505107380754,1
"hsa-miR-182(1)",21.6925877181585,0.55365073607226,0.658554608016575,0.84070588730635,0.400512721594221,0.869058537647469,1
"hsa-miR-184(1)",82.4286910433975,2.8505860232129,1.2440185311299,2.29143373019034,0.0219383406010748,0.743161287861409,1
"hsa-miR-185(1)",895.388652413186,0.145177704307202,0.434022864391024,0.334493217335222,0.738007408236297,0.901505107380754,1
"hsa-miR-185STAR(1)",49.2707111370143,0.551553775594678,0.543992139884791,1.01390026648453,0.310630344213294,0.795650847318158,1
"hsa-miR-186(1)",1236.27474827549,0.349665049818525,0.516019615942907,0.677619685405937,0.498012861350169,0.869228402088236,1
"hsa-miR-18a(1)",218.731349206142,0.925285231973814,0.591217332410641,1.56505092332296,0.117570969510496,0.760324285233523,1
"hsa-miR-190a(1)",17.4350299434304,-0.588636267461794,0.741724629618887,-0.793604855435698,0.427425504931185,0.869058537647469,1
"hsa-miR-191(1)",4185.93130411436,0.36541004746353,0.564146457958188,0.647721956433187,0.517164800526537,0.869228402088236,1
"hsa-miR-191STAR(1)",12.9118367927375,-0.278750323887204,0.658992039927683,-0.422994978691691,0.672298924619593,0.901505107380754,1
"hsa-miR-192(1)",70.9050318432744,1.08408652239272,0.648390307450316,1.67196595929342,0.0945310347792529,0.760324285233523,1
"hsa-miR-194(2)",68.682938270642,0.329329756426791,0.584902026491728,0.563051146193025,0.573400056771054,0.894320174153876,1
"hsa-miR-196b(1)",26.302911258904,0.308139508040007,0.531907197678676,0.579310656792717,0.562379576111525,0.894320174153876,1
"hsa-miR-197(1)",88.6649899429936,-0.0402221764920833,0.500264085329921,-0.0804018870664223,0.935917626103703,0.960226629010807,1
"hsa-miR-199a-3p(3)",2508.47345139889,0.221383591595116,0.537524619137643,0.411857585147046,0.680443810765736,0.901505107380754,1
"hsa-miR-199a-5p(2)",679.943972890381,-0.664852251333949,0.613332663053491,-1.0839994205167,0.278365055773826,0.774839881199967,1
"hsa-miR-19a(1)",1318.7802397597,0.607499436882558,0.663178119660596,0.916042642048362,0.359644529800804,0.833739693549498,1
"hsa-miR-19b(2)",3376.88257367579,0.766587921763642,0.63533875351772,1.20658139853618,0.227593393989392,0.77193106985349,1
"hsa-miR-200b(1)",24.5465938684842,0.368217512880428,0.775074692954498,0.475073584813902,0.63473452553746,0.901505107380754,1
"hsa-miR-200c(1)",62.4357003839494,0.698845317453653,0.647157334411044,1.07986926871446,0.28020039984353,0.774839881199967,1
"hsa-miR-203(1)",178.24294216509,-0.912461017270244,0.817677741230018,-1.11591764244144,0.264457389235267,0.77193106985349,1
"hsa-miR-205(1)",57.8546860009873,0.965486772756884,0.741531380975736,1.30201741629121,0.192910431972593,0.77193106985349,1
"hsa-miR-206(1)",83.105821363287,3.37147321465617,1.50456376736468,2.24083105534403,0.0250370205105503,0.753892506484349,1
